,(Intercept),scale(amp_EVI),scale(avg_LOS),scale(log_colony_size),scale(LOS),scale(max_EVI),scale(ratio),df,logLik,AICc,delta,weight
37,0.465418154,NA,NA,-0.350349492,NA,NA,0.046313504,4,-106.4081815,221.5060182,14.71931015,0.000101035
7,0.468148115,NA,0.022404302,-0.334838195,NA,NA,NA,4,-106.4951308,221.6799168,14.89320868,9.26E-05
13,0.468191195,NA,NA,-0.33812493,0.01515269,NA,NA,4,-106.5039226,221.6975004,14.91079226,9.18E-05
1,0.537437359,NA,NA,NA,NA,NA,NA,2,-108.7671516,221.7343032,14.94759512,9.01E-05
51,0.497052942,NA,0.115850383,NA,NA,-0.312684125,-0.026093494,5,-105.3846648,221.8219613,15.03525317,8.63E-05
59,0.483627187,NA,0.097408056,NA,0.152455799,-0.3728552,-0.027085274,6,-104.7521481,223.0042962,16.21758815,4.78E-05
39,0.464372402,NA,0.023996209,-0.349453649,NA,NA,0.047047769,5,-106.387145,223.8269216,17.04021354,3.17E-05
45,0.46420703,NA,NA,-0.353632615,0.019696756,NA,0.047824536,5,-106.3926442,223.8379199,17.05121181,3.15E-05
3,0.535158921,NA,0.033013848,NA,NA,NA,NA,3,-108.739576,223.8859316,17.09922352,3.07E-05
9,0.539032595,NA,NA,NA,-0.025755367,NA,NA,3,-108.7416378,223.8900552,17.10334714,3.07E-05
33,0.537889163,NA,NA,NA,NA,NA,-0.010582589,3,-108.7616288,223.9300372,17.14332911,3.01E-05
15,0.467531904,NA,0.020136655,-0.336701481,0.011747404,NA,NA,5,-106.4897459,224.0321234,17.24541531,2.86E-05
11,0.536646736,NA,0.038434809,NA,-0.030095625,NA,NA,4,-108.7051731,226.1000014,19.31329334,1.02E-05
41,0.539599339,NA,NA,NA,-0.026513942,NA,-0.011902922,4,-108.7346949,226.1590451,19.37233697,9.86E-06
35,0.535598671,NA,0.032548188,NA,NA,NA,-0.009724457,4,-108.7349275,226.1595103,19.37280217,9.86E-06
47,0.463515693,NA,0.021039488,-0.352288705,0.016261138,NA,0.048235071,6,-106.3767771,226.2535543,19.4668462,9.41E-06
43,0.537197037,NA,0.038101878,NA,-0.030816821,NA,-0.011222792,5,-108.699022,228.4506756,21.66396748,3.14E-06
